Tabelle 1;;;;;;;;;;;;;;;;;;;
;Institute;Theme_DE;Question_number;Question_text;CPA_1_text;merkel_pre_1;merkel_pre_2;merkel_pre_3c;merkel_pre_tgt;merkel_pre_text;merkel_pre_reference;merkel_post_1;merkel_post_2;merkel_post_3c;merkel_post_tgt;merkel_post_text;merkel_post_reference;Comment;
64;dimap;Einstellungen der Bürger zu den Themen Innere Sicherheit und Terrorbekämpfung, Asyl und Einwanderung;q9;Wie sollte Ihrer Meinung nach mit Flüchtlingen verfahren werden, deren Asylantrag von den deutschen Behörden abgelehnt wurde: Sollten sie in jedem Fall in ihr Heimatland abgeschoben werden oder sollten sie unter bestimmten Bedingungen vorerst in Deutschland geduldet werden?;Civil Rights, Minority Issues and Civil Liberties;NA;NA;NA;NA;NA;NA;0;1;0;0;Andererseits handeln wir sofort. Das heißt, Bund und Länder setzen einen Aktionsplan auf, der eine Vielzahl von organisatorischen Maßnahmen beinhaltet und vor allen Dingen auch darauf angelegt ist, in sogenannten Clustern Asylanträge schneller zu bescheiden und auch, wenn notwendig, die Rückführungen in die Herkunftsländer zu vollziehen. Wir wollen auf der anderen Seite, dass diejenigen, die eine gute Bleibeperspektive haben, schnell wirklich integriert werden. Hier spielt das Thema der Sprachkurse eine große Rolle. Der Bund verpflichtet sich, prioritär die Integrationskurse für Asylsuchende und Geduldete mit jeweils guter Bleibeperspektive zu öffnen, und zwar prioritär und im Umfang von 300 Stunden, und nach Anerkennung der Schutzberechtigung dann von 600 Stunden.;2015-06-18_Im Wortlaut - Pressekonferenz der Bundeskanzlerin und der Regierungschefinnen und Regierungschefs der Bundesländer.txt;;
65;dimap;Einstellungen der Bürger zu den Themen Innere Sicherheit und Terrorbekämpfung, Asyl und Einwanderung;q12_1;"In der Öffentlichkeit wird häufig über das Verfahren bei Asylanträgen diskutiert. Es wird befürchtet, dass durch die Asylverfahren eine verdeckte Einwanderung nach Deutschland stattfindet. Welche der folgenden Maßnahmen zur Verbesserung und Verschärfung des Asylrechts sind Ihrer Meinung nach dringend notwendig, welche sind weniger notwendig und welche sind gar nicht notwendig? 

Sofortige Abschiebung bei abgelehnten Asylanträgen";Civil Rights, Minority Issues and Civil Liberties;NA;NA;NA;NA;NA;NA;0;1;0;0;Andererseits handeln wir sofort. Das heißt, Bund und Länder setzen einen Aktionsplan auf, der eine Vielzahl von organisatorischen Maßnahmen beinhaltet und vor allen Dingen auch darauf angelegt ist, in sogenannten Clustern Asylanträge schneller zu bescheiden und auch, wenn notwendig, die Rückführungen in die Herkunftsländer zu vollziehen. Wir wollen auf der anderen Seite, dass diejenigen, die eine gute Bleibeperspektive haben, schnell wirklich integriert werden. Hier spielt das Thema der Sprachkurse eine große Rolle. Der Bund verpflichtet sich, prioritär die Integrationskurse für Asylsuchende und Geduldete mit jeweils guter Bleibeperspektive zu öffnen, und zwar prioritär und im Umfang von 300 Stunden, und nach Anerkennung der Schutzberechtigung dann von 600 Stunden.;2015-06-18_Im Wortlaut - Pressekonferenz der Bundeskanzlerin und der Regierungschefinnen und Regierungschefs der Bundesländer.txt;;
66;dimap;Einstellungen der Bürger zu den Themen Innere Sicherheit und Terrorbekämpfung, Asyl und Einwanderung;q12_4;"In der Öffentlichkeit wird häufig über das Verfahren bei Asylanträgen diskutiert. Es wird befürchtet, dass durch die Asylverfahren eine verdeckte Einwanderung nach Deutschland stattfindet. Welche der folgenden Maßnahmen zur Verbesserung und Verschärfung des Asylrechts sind Ihrer Meinung nach dringend notwendig, welche sind weniger notwendig und welche sind gar nicht notwendig? 

Strengere Prüfung der Asylgründe";Civil Rights, Minority Issues and Civil Liberties;1;1;1;1;"Zu den Schwächsten einer Gesellschaft gehören im Übrigen auch die, die wegen Verfolgung oder aus Not und Verzweiflung ihre Heimat verlassen und zu uns kommen. Wir stehen zu unserer Verantwortung, Flüchtlinge zu unterstützen und politisch Verfolgten Asylrecht zu gewähren.
Die Bundesregierung hat eine Reihe von Maßnahmen ergriffen, um Länder und Kommunen bei der Bewältigung dieser Herausforderung besser zu unterstützen. Deshalb stellen wir den Kommunen Liegenschaften zur Flüchtlingsunterbringung zur Verfügung und haben im Haushalt 2014 300 neue Stellen beim Bundesamt für Migration und Flüchtlinge geschaffen.
Es war richtig und politisch geboten, Bosnien-Herzegowina, Mazedonien und Serbien zu sicheren Herkunftsstaaten zu erklären. Seit Anfang November können von vornherein erkennbar aussichtslose Asylanträge von Angehörigen dieser Staaten schneller bearbeitet und somit die Anträge tatsächlich politisch Verfolgter zügig entschieden werden. Das muss unser Ziel sein.";2014-11-26_Rede von Bundeskanzlerin Merkel im Deutschen Bundestag.txt;1;-1;1;0;Andererseits handeln wir sofort. Das heißt, Bund und Länder setzen einen Aktionsplan auf, der eine Vielzahl von organisatorischen Maßnahmen beinhaltet und vor allen Dingen auch darauf angelegt ist, in sogenannten Clustern Asylanträge schneller zu bescheiden und auch, wenn notwendig, die Rückführungen in die Herkunftsländer zu vollziehen. Wir wollen auf der anderen Seite, dass diejenigen, die eine gute Bleibeperspektive haben, schnell wirklich integriert werden. Hier spielt das Thema der Sprachkurse eine große Rolle. Der Bund verpflichtet sich, prioritär die Integrationskurse für Asylsuchende und Geduldete mit jeweils guter Bleibeperspektive zu öffnen, und zwar prioritär und im Umfang von 300 Stunden, und nach Anerkennung der Schutzberechtigung dann von 600 Stunden.;2015-06-18_Im Wortlaut - Pressekonferenz der Bundeskanzlerin und der Regierungschefinnen und Regierungschefs der Bundesländer.txt;;
67;dimap;Einstellungen der Bürger zu den Themen Innere Sicherheit und Terrorbekämpfung, Asyl und Einwanderung;q13_4;"Überleitung: Derzeit wird diskutiert, die Regeln für die Einwanderung nach Deutschland zu überarbeiten. Nehmen wir einmal an, die Einwanderungsregeln würden tatsächlich überarbeitet werden. Welche Kriterien sollten Ihrer Meinung nach für eine Einwanderung nach Deutschland besonders wichtig, wichtig, weniger wichtig oder gar nicht wichtig sein?  

Ob jemand in seinem Heimatland politisch verfolgt wird";Civil Rights, Minority Issues and Civil Liberties;-2;0;-1;-1;"Zu den Schwächsten einer Gesellschaft gehören im Übrigen auch die, die wegen Verfolgung oder aus Not und Verzweiflung ihre Heimat verlassen und zu uns kommen. Wir stehen zu unserer Verantwortung, Flüchtlinge zu unterstützen und politisch Verfolgten Asylrecht zu gewähren.
Die Bundesregierung hat eine Reihe von Maßnahmen ergriffen, um Länder und Kommunen bei der Bewältigung dieser Herausforderung besser zu unterstützen. Deshalb stellen wir den Kommunen Liegenschaften zur Flüchtlingsunterbringung zur Verfügung und haben im Haushalt 2014 300 neue Stellen beim Bundesamt für Migration und Flüchtlinge geschaffen.
Es war richtig und politisch geboten, Bosnien-Herzegowina, Mazedonien und Serbien zu sicheren Herkunftsstaaten zu erklären. Seit Anfang November können von vornherein erkennbar aussichtslose Asylanträge von Angehörigen dieser Staaten schneller bearbeitet und somit die Anträge tatsächlich politisch Verfolgter zügig entschieden werden. Das muss unser Ziel sein.";2014-11-26_Rede von Bundeskanzlerin Merkel im Deutschen Bundestag.txt;-2;-1;-1;-1;"Die Staats- und Regierungschefs der EU-Staaten beraten am Donnerstag über Maßnahmen zum Schutz von Flüchtlingen. Bundeskanzlerin Merkel setzt alles daran, dass politisch verfolgte Bootsflüchtlinge nicht länger Opfer krimineller Schlepperbanden werden. 
";2015-04-22_EU-Sondergipfel in Brüssel - Entschlossenes Handeln gegen Flüchtlingssterben.txt;;
68;dimap;Einstellungen der Bürger zu den Themen Innere Sicherheit und Terrorbekämpfung, Asyl und Einwanderung;q13_8;"Überleitung: Derzeit wird diskutiert, die Regeln für die Einwanderung nach Deutschland zu überarbeiten. Nehmen wir einmal an, die Einwanderungsregeln würden tatsächlich überarbeitet werden. Welche Kriterien sollten Ihrer Meinung nach für eine Einwanderung nach Deutschland besonders wichtig, wichtig, weniger wichtig oder gar nicht wichtig sein?  

Ob jemand in Deutschland eine Ausbildung machen möchte";Civil Rights, Minority Issues and Civil Liberties;NA;NA;NA;NA;NA;NA;-1;1;-1;-1;"Ich rate angesichts der jetzigen Entwicklung dazu, erst einmal zu schauen, wie viel Arbeitsplätze wir eigentlich noch besetzen müssen, wenn wir übersehen, wie sich die weiteren Flüchtlings- und Asylbewegungen entwickeln. Das ist im Augenblick in einem sehr großen Umbruch begriffen, weil ja sehr viele zu uns kommen, von denen wir die Qualifikation noch gar nicht kennen, von denen wir nicht wissen, ob sie dem entsprechen, was wir an Fachkräften brauchen, ob sie dem nicht entsprechen, ob es dem Lehrstellenangebot entspricht, das wir haben. Dann kann man über das Thema wieder sehr nüchtern sprechen. Im Augenblick erscheint es mir nicht das Vordringlichste zu sein, weil wir momentan eine Einwanderung aufgrund der Überzeugungen unseres Grundgesetzes bekommen, bei der ich noch nicht absehen kann - ich bin ja auch keine Hellseherin -, welchen Effekt das ausmacht. Es wird mit Sicherheit einiges verändern, weil auch sehr viele junge Menschen zu uns kommen, sehr viele Menschen, die sicherlich gerne einen Beruf lernen. All das müssen wir jetzt erst einmal organisieren. 
Insofern: Lassen Sie uns das jetzt erst einmal gut machen. Dann wird man sicherlich darüber nachdenken müssen, ob man den Menschen auf dem westlichen Balkan, aus Staaten die ja auch zu großen Teilen Beitrittsverhandlungen mit der Europäischen Union führen, Perspektiven gibt, wenn es gut ausgebildete Fachkräfte sind. Aber all das macht unsere Rechtslage heute schon möglich, und so wird man sich dem Thema nähern. Da ist nichts mit in Deckung sein, sondern es spricht, wie gesagt, alles dafür, dass wir ein Land sind, in das man gerne einwandert, aus welchen Gründen auch immer.";2015-08-31_Im Wortlaut - Sommerpressekonferenz von Bundeskanzlerin Merkel.txt;;
69;dimap;Einstellungen der Bürger zu den Themen Innere Sicherheit und Terrorbekämpfung, Asyl und Einwanderung;q14;"Welcher der Meinungen zur Zuwanderung hochqualifizierter Fachkräfte aus dem Ausland würden Sie eher zustimmen? 

A: „Viele Betriebe suchen händeringend nach Facharbeitern. Wenn sich hierzulande niemand findet, sollten hochqualifizierte Fachkräfte aus dem Ausland zuwandern dürfen, um die Lücke zu füllen.“

B: „Wir haben immer noch rund drei Millionen Arbeitslose. Vor einem Zuzug von Menschen aus dem Ausland sollte man die Arbeitslosen hierzulande so weiterbilden, dass sie die Jobs machen können.“";Civil Rights, Minority Issues and Civil Liberties;NA;NA;NA;NA;NA;NA;-1;1;-1;1;Wir müssen jetzt auch aufpassen, dass wir im Zusammenhang mit der Integration von Asylbewerbern das Fachkräftepotenzial nutzen. Wir haben ins-besondere mit dem Handwerk darüber gesprochen. Ich bedanke mich für die Bereitschaft, diese Integration durchzuführen. Sie brauchen dafür berechenbare Bedingungen. Daran arbeiten wir. Aber wir dürfen auch den Teil der Langzeitarbeitslosen, die aus Deutschland kommen, nicht vergessen. Denken wir immer daran: Wir geben nach wie vor Milliarden für Hartz IV aus. Allein der Gedanke, man könnte davon einen relevanten Teil in Investitionen stecken, ist sehr spannend und interessant.;2015-04-22_Rede von Bundeskanzlerin Merkel beim Empfang der CDU-CSU-Bundestagsfraktion für die deutsche Wirtschaft am 22_ April 2015.txt;;
70;dimap;Einstellungen der Bürger zu den Themen Innere Sicherheit und Terrorbekämpfung, Asyl und Einwanderung;q21;Zudem sollen in Zukunft auch diejenigen bestraft werden können, die Terrororganisationen finanziell unterstützen, z. B: mit einer Geldspende . Halten Sie das für eine angemessene Maßnahme, finden Sie, es geht zu weit oder finden Sie, es geht nicht weit genug?;International Affairs and Foreign Aid;2;1;1;1;"Die Antwort der internationalen Staatengemeinschaft ist, den islamistischen Terror weiter entschlossen zu bekämpfen. Deshalb nutzt Deutschland beispielsweise auch die gegenwärtige deutsche G7-Präsidentschaft dazu, weiterhin intensiv daran zu arbeiten, den Strom an Finanzen und Kämpfern für den internationalen Terrorismus nachhaltig einzudämmen.
Auch innerstaatlich ergreifen wir wichtige Maßnahmen, um z.B. die Ausreise von Kampfwilligen aus Deutschland zu unterbinden und terroristische Gruppierungen strafrechtlich zu verfolgen. So wird sich künftig strafbar machen, wer Deutschland verlassen will, um sich an schweren staatsgefährdenden Gewalttaten im Ausland zu beteiligen oder hierfür ausbilden zu lassen. Im Januar hat die Bundesregierung einen Gesetzentwurf beschlossen, mit dem Dschihadisten künftig der Personalausweis entzogen werden kann, um ihre Ausreise zu verhindern. Außerdem werden wir einen neuen eigenen Tatbestand der Terrorismusfinanzierung einführen.";2015-02-07_Rede von Bundeskanzlerin Angela Merkel anlässlich der 51_ Münchner Sicherheitskonferenz.txt;2;0;1;0;Deutschland und Frankreich streben ferner maßgebliche Initiativen an, um die Finanzierung des Terrorismus und die illegale Verbreitung von Feuerwaffen zu bekämpfen und illegale Inhalte, die Terrorismus verherrlichen oder zu Hass und Gewalt aufrufen, aus dem Internet zu entfernen.;2015-03-31_Deutsch-Französischer Ministerrat - Frankreich und Deutschland stehen zusammen.txt;;
71;IPOS;Regierungsmonitor (April 2015);q9;"Und wenn es um Jobs geht, die hier in Deutschland keiner machen will, sollte dann ausländischen Arbeitskräften die Zuwanderung erleichtert werden, oder - sollte sie nicht erleichtert werden?  ";Labor, Employment and Immigration;0;-1;0;-1;"Mit diesen und vielen anderen Fragen befassen wir uns in Deutschland im Rahmen der Demografie-Strategie der Bundesregierung. Wir setzen zum Beispiel neben einer besseren Erwerbstätigkeit von Frauen, einer besseren Vereinbarkeit von Beruf und Familie und einer längeren Lebensarbeitszeit unter anderem auch auf qualifizierte Arbeitnehmerinnen und Arbeitnehmer aus dem Ausland. Gerade durch Freizügigkeit in der Europäischen Union bieten sich gute Möglichkeiten, dass Arbeitskräfte aus europäischen Ländern nach Deutschland kommen. Aber auch Arbeitskräfte aus außereuropäischen Ländern sind gegebenenfalls daran interessiert; und für deren Zuwanderung verbessern wir die Bedingungen.";2015-03-09_Rede von Bundeskanzlerin Merkel bei der Tageszeitung „Asahi Shimbun“ am 9_ März 2015.txt;0;-1;0;-1;"Zum Thema Zuwanderung. Aufgrund der Freizügigkeit im europäischen Bereich haben wir inzwischen eine Vielzahl von Zuwanderern aus Ländern, die eine hohe Arbeitslosigkeit aufweisen, gerade auch Jugendarbeitslosigkeit. Ich meine, wir sollten uns hierbei offen zeigen. Wenn wir einen Binnenmarkt in Europa haben, dann sollten wir auch offen sein, was Arbeitsplätze für Menschen aus anderen Ländern anbelangt. Bei Studenten ist das inzwischen selbstverständlich geworden. Über das Programm ""Erasmus"" studieren sie eine Zeit lang irgendwo in einem europäischen Land. Das schadet niemandem. Im Gegenteil, es schafft ein positives Gefühl für Globalisierung.";2015-06-12_Rede von Bundeskanzlerin Merkel anlässlich des Tags des deutschen Familienunternehmens am 12_ Juni 2015.txt;;
72;IPOS;Regierungsmonitor (April 2015);v11_1;"Ich nenne Ihnen nun einige Themen und möchte wissen, wie wichtig Sie es finden, dass sich da etwas verbessert: Wie wichtig finden Sie ... 

es, dass Langzeitarbeitslose wieder ins Berufsleben eingegliedert werden?";Labor, Employment and Immigration;-1;1;-1;-1;Fachkräftesicherung ist sicherlich ein Thema, das uns in den nächsten Jahren an-gesichts der demografischen Entwicklung intensiv beschäftigen wird. Wir dürfen nicht vergessen: Wir haben immer noch fast drei Millionen Arbeitslose und darunter einen wachsenden Anteil von Langzeitarbeitslosen. Es muss unser politisches Interesse sein, diese Zahl zu senken. Wir haben im Bereich der Alleinerziehenden durch den Ausbau der Kinderbetreuung schon einiges erreicht. Aber wir müssen weitermachen. Wir müssen jetzt auch aufpassen, dass wir im Zusammenhang mit der Integration von Asylbewerbern das Fachkräftepotenzial nutzen. Wir haben ins-besondere mit dem Handwerk darüber gesprochen. Ich bedanke mich für die Bereitschaft, diese Integration durchzuführen. Sie brauchen dafür berechenbare Bedingungen. Daran arbeiten wir. Aber wir dürfen auch den Teil der Langzeitarbeitslosen, die aus Deutschland kommen, nicht vergessen. Denken wir immer daran: Wir geben nach wie vor Milliarden für Hartz IV aus. Allein der Gedanke, man könnte davon einen relevanten Teil in Investitionen stecken, ist sehr spannend und interessant.;2015-04-22_Rede von Bundeskanzlerin Merkel beim Empfang der CDU-CSU-Bundestagsfraktion für die deutsche Wirtschaft am 22_ April 2015.txt;-1;-1;-1;-1;"""Und wichtig"", so Merkel weiter, ""sind natürlich die Ausbildung und die Bildung, die die Menschen bekommen."" Es sei erfreulich, dass Deutschland die niedrigste Jugendarbeitslosigkeit in Europa habe, aber auch damit könne man sich natürlich nicht zufriedengeben. Im weltweiten Vergleich habe Deutschland ein Netz geknüpft, das es Menschen ermögliche, am gesellschaftlichen Leben teilzuhaben. Gleichwohl heiße es, insbesondere die Langzeitarbeitslosigkeit weiter zu bekämpfen.";"2015-05-30_Video-Podcast - Bürgerdialog ""Gut leben in Deutschland"" - Merkel/ Möglichst viele sollen zu Wort kommen.txt";;
73;IPOS;Regierungsmonitor (April 2015);v11_3;"Ich nenne Ihnen nun einige Themen und möchte wissen, wie wichtig Sie es finden, dass sich da etwas verbessert: Wie wichtig finden Sie ...  :

eine bessere Eingliederung der Ausländer in Deutschland?";Civil Rights, Minority Issues and Civil Liberties;-2;1;-1;1;"Fachkräftesicherung ist sicherlich ein Thema, das uns in den nächsten Jahren an-gesichts der demografischen Entwicklung intensiv beschäftigen wird. Wir dürfen nicht vergessen: Wir haben immer noch fast drei Millionen Arbeitslose und darunter einen wachsenden Anteil von Langzeitarbeitslosen. Es muss unser politisches Interesse sein, diese Zahl zu senken. Wir haben im Bereich der Alleinerziehenden durch den Ausbau der Kinderbetreuung schon einiges erreicht. Aber wir müssen weitermachen. Wir müssen jetzt auch aufpassen, dass wir im Zusammenhang mit der Integration von Asylbewerbern das Fachkräftepotenzial nutzen. Wir haben ins-besondere mit dem Handwerk darüber gesprochen. Ich bedanke mich für die Bereitschaft, diese Integration durchzuführen. Sie brauchen dafür berechenbare Bedingungen. Daran arbeiten wir. Aber wir dürfen auch den Teil der Langzeitarbeitslosen, die aus Deutschland kommen, nicht vergessen. Denken wir immer daran: Wir geben nach wie vor Milliarden für Hartz IV aus. Allein der Gedanke, man könnte davon einen relevanten Teil in Investitionen stecken, ist sehr spannend und interessant.
";2015-04-22_Rede von Bundeskanzlerin Merkel beim Empfang der CDU-CSU-Bundestagsfraktion für die deutsche Wirtschaft am 22_ April 2015.txt;-2;0;-1;-1;Wir werden Integrationskurse für diejenigen, von denen wir erwarten, dass sie bleiben, noch in diesem Jahr anbieten und erhöhen. Auch dafür wird es im Nachtragshaushalt zusätzliche Mittel geben. Die Bundesagentur für Arbeit überlegt, auch berufsvorbereitend und -hineinführend tätig zu werden, um bei denjenigen, die eine Bleibeperspektive haben - gerade bei jungen Menschen -, die Berufsqualifikation so früh wie möglich beginnen zu können. Die anderen Themen, die wir ohnehin haben - etwa Gesundheitsversorgung oder die Verteilung unbegleiteter Minderjähriger -, sollen mit der Beschlussfassung im Juni zusammengeführt werden.;2015-05-08_im Wortlaut - Pressekonferenz von Bundeskanzlerin Merkel, Bundesminister de Maizière, Bundesminister Gabriel, Ministerpräsidentin Kraft und Ministerpräsident  Seehofer anlässlich des Flüchtlingsgipfels.txt;;
74;IPOS;Regierungsmonitor (April 2015);v11_4;"Ich nenne Ihnen nun einige Themen und möchte wissen, wie wichtig Sie es finden, dass sich da etwas verbessert: Wie wichtig finden Sie ...  : 

es, dass der Klimaschutz verbessert wird";Environment;-1;1;-1;0;Wir haben bis zum Sommer entscheidende Dinge zu regeln, die für die Zukunft des Energiemarktes von allergrößter Bedeutung sind. Das sind die Entscheidungen zum Netzausbau im Gleichspannungsbereich, das sind die Fragen des Strommarktdesigns – Kapazitätsmarkt ja oder nein, und wie muss das aussehen –, das sind die Novellierung des Kraft-Wärme-Kopplungs-Gesetzes und die Frage der Klimaschutzziele, die im Augenblick im Kohlebereich zu erheblichen Diskussionen führt. Da will ich ganz deutlich sagen, dass wir uns natürlich – und das weiß ich auch vom Wirtschaftsminister – anschauen, welche Wirkung das hat, dass man über die Annahmen reden muss, dass die Szenarien gerechnet werden. Natürlich gibt es da Diskussionen. Wir müssen auf der einen Seite den Klimaschutz im Auge haben, auf der anderen Seite aber auch die Arbeitsplätze und die heimische Rohstoffbasis.;2015-04-22_Rede von Bundeskanzlerin Merkel beim Empfang der CDU-CSU-Bundestagsfraktion für die deutsche Wirtschaft am 22_ April 2015.txt;-2;-1;-1;-1;"Bundeskanzlerin Angela Merkel will, dass der 6. Petersberger Klimadialog, der morgen in Berlin beginnt, ""ein gutes Signal"" für die UN-Klimakonferenz in Paris sendet. Die UN-Konferenz habe die Aufgabe, ""alle Voraussetzungen dafür zu schaffen, dass 2020 ein verbindliches Klimaabkommen weltweit in Kraft treten kann"", so Merkel in ihrem neuen Video-Podcast. ""Deshalb ist es für uns sehr wichtig, alle darauf vorzubereiten, dass sie jetzt schnellstmöglich die Klimaziele definieren, die sie sich national vornehmen."" Diese Ziele müssten möglichst anspruchsvoll sein.
Die Bundeskanzlerin erklärt, gleichzeitig sei darauf zu achten, ""dass die Klimafinanzierung, die wir schon in Kopenhagen versprochen haben, auch wirklich gewährleistet wird."" Man brauche ein Finanzierungsinstrument, sonst würden ""die Entwicklungsländer und auch die vom Klimawandel besonders betroffenen Länder nicht einer Verabredung zustimmen."" Der UN-Konferenz für Entwicklungsfinanzierung im Juli in Addis Abeba kommt, Merkel zufolge, hierbei entscheidende Bedeutung zu.
Die Bundeskanzlerin begrüßt die Einigung der EU über die Reform des Handels mit CO2-Ausstoßrechten, die 2019 in Kraft treten soll. ""Wir haben"", sagt Merkel, ""mit ziemlichem Aufwand, aber – wie ich finde – doch recht erfolgreich den Emissionshandel in der Europäischen Union verändert."" Im Augenblick habe man ""nicht das richtige Preissignal."" Es gebe zu viele CO2-Zertifikate im Markt. ""Deshalb muss ein Mechanismus gefunden werden, der auch auf Dauer sicherstellt, dass Wirtschaftswachstum und die Verfügbarkeit der Zertifikate in einem vernünftigen Verhältnis stehen. Es müssen also Zertifikate rausgenommen werden."" Dann, er";2015-05-16_Video-Podcast - Merkel für anspruchsvolle Klimaschutz-Ziele.txt;;
75;IPOS;Regierungsmonitor (April 2015);v11_5;"Ich nenne Ihnen nun einige Themen und möchte wissen, wie wichtig Sie es finden, dass sich da etwas verbessert: Wie wichtig finden Sie ...  : 

es, dass der Umstieg auf erneuerbare Energien beschleunigt wird?";Energy;-2;1;-1;-1;Gerade dort, wo wir weltweit vorangehen – wie beim Umstieg auf erneuerbare Energien –, haben wir die Chance zu zeigen, wie innovationsstark Deutschland ist. Etliche Entwicklungen aus der Chemieindustrie dienen einer nachhaltigen Stromproduktion, einer besseren Energieeffizienz und dem Klimaschutz. Ich denke dabei zum Beispiel an hochwertige Dämmmaterialien, leistungsstarke Batterien oder neue Techniken und Materialien, mit denen Solarzellen mehr Strom erzeugen können und länger halten.;2015-04-23_Rede von Bundeskanzlerin Merkel bei der Festveranstaltung zum 150-jährigen Bestehen von BASF am 23_ April 2015.txt;-2;-1;-1;-1;Die Europäische Union hat im Herbst vergangenen Jahres bereits ein klares politisches Signal gesetzt. Die Mitgliedstaaten haben sich darauf verständigt, bis 2030 den Ausstoß an Treibhausgasen um mindestens 40 Prozent gegenüber 1990 zu verringern, den Anteil erneuerbarer Energien am Gesamtverbrauch auf mindestens 27 Prozent zu steigern und die Energieeffizienz gegenüber der Referenzentwicklung ebenfalls um mindestens 27 Prozent zu erhöhen. Diese Ziele sind die Basis für den Beitrag der Europäischen Union zum internationalen Klimaschutzabkommen. Das Wörtchen „mindestens“ hält dabei in jedem Fall die Tür offen, sich im Lichte der internationalen Verhandlungen auch zu überlegen, ob wir über die EU-internen Ziele hinaus gehen können – zum Beispiel durch Nutzung internationaler Emissionsgutschriften.;2015-05-19_Rede von Bundeskanzlerin Merkel zum VI_ Petersberger Klimadialog am 19_ Mai 2015.txt;;
76;IPOS;Regierungsmonitor (April 2015);v11_6;"Ich nenne Ihnen nun einige Themen und möchte wissen, wie wichtig Sie es finden, dass sich da etwas verbessert: Wie wichtig finden Sie ...  : 

es, dass die Lösung der Euro- und Finanzkrise vorankommt?";Macroeconomy;-2;1;-1;1;"BK’in Merkel: Da will ich noch einmal darauf verweisen, dass wir im Grunde auch ein Dokument vom 10. Dezember haben, in dem es um eine Bestandsaufnahme des fünften Reviews des zweiten ökonomischen Anpassungsprogramms geht. Darin ist ja festgelegt worden, was schon geschafft worden ist und was noch getan werden muss. Wir haben gestern gesagt: Die griechische Regierung wird innerhalb des Rahmens der Vereinbarung der Eurogruppe vom 20. Februar - und dieser Rahmen bezieht sich eben genau auf das, was das zweite Anpassungsprogramm und was der letzte dazu vorliegende Review-Bericht umfasst - Eigenverantwortung für die Reformen tragen und in den nächsten Tagen eine umfassende Liste spezifischer Reformen vorlegen. Das heißt, dass die griechische Regierung die Möglichkeit hat, einzelne Reformen, die am 10. Dezember als noch ausstehend galten, durch andere Reformen zu ersetzen, wenn sie im Rahmen dieser Vereinbarung - deshalb haben wir „innerhalb des Rahmens der Vereinbarung“ gesagt - den gleichen Effekt erbringen. Ob sie den gleichen Effekt erbringen, müssen wiederum die Institutionen feststellen, und sie müssen dann der Eurogruppe entsprechende Vorschläge machen.
Wir hatten schon in Irland die Situation, dass die neu gewählte Regierung von Enda Kenny aus dem damals schon laufenden Programm einige Maßnahmen genommen hat und gesagt hat: Die möchten wir nicht umsetzen, aber wir ersetzen sie durch andere Maßnahmen. Wenn es zum Beispiel um eine Pensionsreform oder eine Reform im öffentlichen Dienst geht, dann kann diese Reform so oder so machen; man kann auch eine Steuerreform in verschiedenen Ausprägungen machen. Wichtig ist, dass das Ganze zum Schluss finanziell aufgeht; denn Teil der Erklärung vom 20. Februar war ja auch, dass sich Griechenland - mit einer gewissen Einschränkung für das Jahr 2015 - verpflichtet, die zur Gewährleistung der Schuldentragfähigkeit gemäß der Erklärung der Eurogruppe vom November 2012 erforderlichen angemessenen Primärüberschüsse beziehungsweise Finanzierungserlöse sicherzustellen. Auch das ist Teil des Statements vom 20. Februar.";2015-03-20_Im Wortlaut - Abschließende Pressekonferenz von Bundeskanzlerin Merkel zum Europäischen Rat am 20_ März 2015.txt;-2;1;-1;1;Die Kanzlerin bekräftigte ihren Willen, alles zu tun, um Griechenland in der Eurozone zu halten. Es gehe hier nicht um irgendeine Finanzlücke, sondern um Reformen und die Erfüllung des zweiten Hilfsprogramms. Griechenland müsse eines Tages wieder Wirtschaftswachstum und Beschäftigung erzielen.;2015-06-16_Griechenlandhilfe - Alles tun, was möglich ist.txt;;
77;IPOS;Regierungsmonitor (April 2015);v11_7;"Ich nenne Ihnen nun einige Themen und möchte wissen, wie wichtig Sie es finden, dass sich da etwas verbessert: Wie wichtig finden Sie ...  : 

es, dass mehr für soziale Gerechtigkeit getan wird?";Social Welfare;-1;-1;-1;-1;"- Die sozialen Sicherungssysteme stehen auf solider Grundlage. Das Rentenpaket schafft mehr Gerechtigkeit bei der Anerkennung der Lebensleistung. 
- Ein gesetzlicher Mindestlohn bringt mehr Gerechtigkeit auf dem Arbeitsmarkt. 
";2014-12-11_Deutschland auf gutem Weg - Eine Bilanz des ersten Regierungsjahres der Großen Koalition.txt;0;1;0;0;Bei der anschließenden Podiumsdiskussion formulierten Vertretern der Nichtregierungsorganisationen ihre Forderungen an die Industrienationen beim G7-Gipfel Anfang Juni auf Schloss Elmau. Sie plädierten vor allem für eine gerechtere Wirtschafts- und Handelspolitik. Merkel betonte, dass die EU durch Handelsabkommen ihre sehr guten Umwelt- und Sozialstandards verbreiten könne.;2015-04-20_Merkel bei G7-Dialogforum - Klimaschutz und Nachhaltigkeit im Fokus.txt;;
